# Time-averaged data for fix msd_avg_A
# TimeStep c_msd_A[4]
81000 69.8975
81100 69.6353
81200 69.4135
81300 69.1072
81400 68.8782
81500 68.5993
81600 67.8994
81700 68.0618
81800 68.1035
81900 67.7041
82000 67.2789
82100 66.9641
82200 67.0367
82300 67.3686
82400 67.382
82500 67.0948
82600 66.7176
82700 66.6389
82800 66.3602
82900 66.4183
83000 66.123
83100 65.8499
83200 65.4019
83300 65.2773
83400 65.3601
83500 65.6281
83600 65.7873
83700 65.6937
83800 65.3525
83900 65.0947
84000 64.5359
84100 64.3039
84200 64.2927
84300 64.192
84400 64.1425
84500 64.1619
84600 64.2162
84700 64.1082
84800 64.1862
84900 64.0372
85000 63.9969
85100 63.6915
85200 63.1229
85300 63.381
85400 63.5129
85500 63.4506
85600 63.019
85700 62.9321
85800 62.7942
85900 62.6703
86000 62.35
86100 62.2032
86200 62.0782
86300 62.0397
86400 62.3772
86500 62.4386
86600 62.3611
86700 62.4273
86800 62.2189
86900 62.3797
87000 62.2756
87100 62.0067
87200 61.9357
87300 61.8818
87400 61.6543
87500 61.3656
87600 61.383
87700 61.5194
87800 61.288
87900 60.9128
88000 60.5716
88100 60.472
88200 60.5246
88300 60.7366
88400 60.8311
88500 60.95
88600 60.9871
88700 61.0333
88800 61.3902
88900 61.6996
89000 62.0305
89100 61.834
89200 61.5453
89300 61.5338
89400 61.5828
89500 61.2587
89600 60.6732
89700 60.5433
89800 60.7346
89900 60.6496
90000 60.4549
90100 60.4019
90200 60.1135
90300 59.6987
90400 59.912
90500 59.7525
90600 59.5959
90700 59.2636
90800 58.8177
90900 58.7851
91000 58.746
91100 58.7733
91200 58.8262
91300 58.9887
91400 58.9375
91500 58.8875
91600 58.8452
91700 58.8329
91800 58.5657
91900 58.4979
92000 58.7
92100 58.5044
92200 58.0528
92300 57.927
92400 57.8514
92500 57.9556
92600 57.7956
92700 57.5489
92800 57.5929
92900 57.5511
93000 57.4598
93100 57.5515
93200 57.2684
93300 56.7892
93400 56.4182
93500 56.6387
93600 56.6712
93700 56.5364
93800 56.6383
93900 56.703
94000 56.9061
94100 56.83
94200 57.2387
94300 57.576
94400 57.8381
94500 57.9807
94600 57.8256
94700 57.9329
94800 58.0945
94900 58.257
95000 58.5452
95100 58.971
95200 59.0487
95300 59.265
95400 59.2116
95500 59.1313
95600 58.8469
95700 58.5446
95800 58.2356
95900 58.3258
96000 58.1386
96100 57.8723
96200 57.686
96300 58.078
96400 58.1648
96500 58.1575
96600 58.3568
96700 58.336
96800 58.2989
96900 58.4827
97000 58.659
97100 58.7204
97200 58.9222
97300 58.9623
97400 59.0452
97500 59.2382
97600 59.3526
97700 59.2872
97800 59.3344
97900 59.2638
98000 58.9878
98100 58.8349
98200 58.9097
98300 58.8427
98400 58.63
98500 58.5461
98600 58.3382
98700 58.496
98800 58.7212
98900 58.5462
99000 58.6132
99100 58.6124
99200 58.7394
99300 58.7895
99400 58.6111
99500 58.1751
99600 57.9835
99700 57.6899
99800 57.4845
99900 57.9022
100000 57.9897
