# Time-averaged data for fix msd_avg_A
# TimeStep c_msd_A[4]
82500 173.206
82600 173.089
82700 173.372
82800 173.046
82900 172.547
83000 171.843
83100 171.119
83200 171.373
83300 171.437
83400 170.813
83500 170.209
83600 169.378
83700 169.785
83800 170.002
83900 169.567
84000 169.094
84100 167.616
84200 167.387
84300 167.224
84400 166.669
84500 166.618
84600 165.632
84700 164.862
84800 164.84
84900 164.669
85000 164.237
85100 163.611
85200 163.714
85300 163.513
85400 163.01
85500 162.863
85600 163.011
85700 163.533
85800 163.84
85900 163.925
86000 164.279
86100 163.685
86200 163.7
86300 163.161
86400 163.201
86500 163.531
86600 163.317
86700 162.477
86800 161.237
86900 160.4
87000 159.373
87100 159.153
87200 159.595
87300 159.326
87400 159.041
87500 159.233
87600 159.659
87700 159.692
87800 160.044
87900 160.749
88000 161.263
88100 161.904
88200 162.204
88300 163.084
88400 163.774
88500 164.443
88600 164.49
88700 164.137
88800 164.081
88900 164.176
89000 164.267
89100 165.156
89200 164.307
89300 163.726
89400 163.856
89500 163.738
89600 163.131
89700 163.263
89800 163.5
89900 163.275
90000 163.665
90100 163.865
90200 164.438
90300 164.685
90400 165.188
90500 165.516
90600 165.697
90700 166.03
90800 165.744
90900 165.542
91000 165.046
91100 164.853
91200 166.226
91300 167.098
91400 167.774
91500 167.729
91600 167.751
91700 167.137
91800 167.039
91900 167.342
92000 168.151
92100 167.958
92200 167.78
92300 167.831
92400 168.031
92500 168.702
92600 168.887
92700 169.388
92800 169.823
92900 170.298
93000 171.166
93100 171.596
93200 171.977
93300 172.221
93400 171.712
93500 171.329
93600 171.489
93700 171.669
93800 172.297
93900 172.928
94000 173.184
94100 173.669
94200 174.668
94300 175.504
94400 176.993
94500 178.285
94600 179.857
94700 180.458
94800 179.927
94900 179.691
95000 179.31
95100 178.732
95200 177.887
95300 176.948
95400 176.703
95500 177.261
95600 178.012
95700 178.204
95800 177.592
95900 176.694
96000 177.578
96100 178.376
96200 179.31
96300 181.167
96400 182.403
96500 183.134
96600 183.086
96700 183.259
96800 183.273
96900 183.234
97000 183.614
97100 183.764
97200 184.798
97300 185.634
97400 186.511
97500 186.687
97600 186.511
97700 187.196
97800 188.556
97900 190.129
98000 191.023
98100 190.823
98200 191.973
98300 192.502
98400 192.418
98500 192.402
98600 192.67
98700 192.855
98800 192.846
98900 192.466
99000 192.078
99100 191.271
99200 190.939
99300 191.748
99400 191.994
99500 191.552
99600 191.955
99700 192.12
99800 192.361
99900 191.895
100000 191.652
