# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_12_10_1[4]
84600 217.712
84700 217.994
84800 218.001
84900 218.287
85000 218.607
85100 218.838
85200 219.244
85300 220.026
85400 220.763
85500 221.509
85600 221.914
85700 222.529
85800 222.978
85900 223.231
86000 223.259
86100 223.619
86200 224.009
86300 223.975
86400 223.927
86500 224.086
86600 223.816
86700 223.569
86800 223.403
86900 223.783
87000 224.31
87100 224.779
87200 225.611
87300 226.225
87400 226.539
87500 226.126
87600 225.966
87700 226.036
87800 226.05
87900 226.629
88000 226.903
88100 227.103
88200 227.481
88300 228.017
88400 228.328
88500 228.529
88600 229.028
88700 229.612
88800 230.22
88900 231.271
89000 232.093
89100 232.756
89200 233.391
89300 233.986
89400 233.969
89500 233.826
89600 234.214
89700 234.194
89800 234.682
89900 234.899
90000 235.121
90100 235.123
90200 235.085
90300 235.672
90400 236.239
90500 236.576
90600 236.991
90700 237.154
90800 237.274
90900 237.239
91000 236.765
91100 236.868
91200 236.766
91300 236.819
91400 236.892
91500 236.804
91600 236.457
91700 235.792
91800 235.381
91900 235.388
92000 235.571
92100 235.896
92200 235.97
92300 236.71
92400 236.949
92500 237.604
92600 238.369
92700 238.851
92800 239.311
92900 239.738
93000 240.333
93100 241.048
93200 241.29
93300 241.287
93400 241.479
93500 241.546
93600 241.822
93700 242.281
93800 242.81
93900 243.381
94000 243.877
94100 244.452
94200 244.53
94300 244.618
94400 244.797
94500 244.886
94600 244.132
94700 244.342
94800 244.314
94900 244.421
95000 244.68
95100 245.163
95200 245.405
95300 245.445
95400 245.647
95500 245.745
95600 246.133
95700 246.468
95800 247.456
95900 248.319
96000 249.167
96100 249.369
96200 249.951
96300 250.409
96400 250.697
96500 251.094
96600 251.353
96700 251.808
96800 252.497
96900 253.475
97000 254.064
97100 254.298
97200 254.652
97300 255.419
97400 255.999
97500 256.116
97600 255.959
97700 255.618
97800 255.789
97900 256.128
98000 256.421
98100 256.949
98200 257.381
98300 257.954
98400 258.367
98500 258.975
98600 260.193
98700 260.669
98800 261.393
98900 262.259
99000 263.672
99100 264.188
99200 264.202
99300 264.188
99400 264.127
99500 263.769
99600 263.698
99700 263.849
99800 263.578
99900 263.429
100000 263.402
