# Time-averaged data for fix msd_avg_B
# TimeStep c_msd_B[4]
91600 322.105
91700 320.852
91800 320.635
91900 320.234
92000 320.174
92100 320.486
92200 321.641
92300 322.209
92400 321.031
92500 321.133
92600 321.812
92700 321.99
92800 321.699
92900 321.361
93000 321.666
93100 322.454
93200 323.568
93300 323.716
93400 323.751
93500 323.481
93600 324.292
93700 325.723
93800 326.275
93900 326.831
94000 326.293
94100 327.016
94200 327.018
94300 326.897
94400 327.699
94500 328.138
94600 328.273
94700 328.066
94800 327.542
94900 328.507
95000 328.716
95100 328.22
95200 328.665
95300 329.255
95400 329.05
95500 328.588
95600 328.381
95700 327.043
95800 326.392
95900 325.197
96000 323.705
96100 322.834
96200 322.644
96300 322.786
96400 322.797
96500 322.546
96600 323.515
96700 324.008
96800 324.374
96900 323.328
97000 323.614
97100 323.777
97200 323.732
97300 324.844
97400 325.306
97500 325.563
97600 325.442
97700 324.954
97800 324.679
97900 325.952
98000 326.27
98100 325.986
98200 325.502
98300 324.448
98400 323.162
98500 321.788
98600 321.306
98700 321.435
98800 322.507
98900 322.061
99000 321.179
99100 320.469
99200 320.904
99300 320.505
99400 321.152
99500 322.483
99600 322.228
99700 321.517
99800 321.27
99900 321.837
100000 322.569
